"filename", "language", "YAML", "Dart", "Markdown", "Ini", "Properties", "Groovy", "JSON", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorConversacion.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 912, 10, 1121
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorCreditos.dart", "Dart", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48, 220
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorDenuncias.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 88
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorInicioSesion.dart", "Dart", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 18, 75, 296
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLikes.dart", "Dart", 0, 796, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69, 870
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLocalizacion.dart", "Dart", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 315
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorNotificaciones.dart", "Dart", 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52, 339
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorPagos.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 26
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorPermisos.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 206
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorRecompensa.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorSanciones.dart", "Dart", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 143
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorVerificacion.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33, 86
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorVideollamadas.dart", "Dart", 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 418
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ManejadorMultimedia.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\PerfilesUsuarios.dart", "Dart", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 268, 102, 685
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\collection.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 167
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\geoflutterfire.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\models\DistanceDocSnapshot.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\point.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 64
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\util.dart", "Dart", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 63, 33, 277
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Usuario.dart", "Dart", 0, 622, 0, 0, 0, 0, 0, 0, 0, 0, 41, 194, 857
