"filename", "language", "YAML", "Dart", "TypeScript", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\domain\repository\sanctionsRepo\sanctionsRepo.dart", "Dart", 0, 11, 0, 0, 5, 16
"d:\Proyecto\citasnuevo\lib\domain\repository\settingsRepository\SettingsRepository.dart", "Dart", 0, 1, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\domain\repository\userCreatorRepo\userCreatorRepo.dart", "Dart", 0, 10, 0, 0, 6, 16
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 3, 0, 1, 3, 7
"d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsPresentation.dart", "Dart", 0, 137, 0, 2, 18, 157
"d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsScreen.dart", "Dart", 0, 309, 0, 1, 13, 323
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 0, 33, 0, 0, 3, 36
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 0, 24, 0, -1, 2, 25
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatMessage.dart", "Dart", 0, -2, 0, 0, 0, -2
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatProfileDetailScreen.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatScreen.dart", "Dart", 0, 4, 0, 0, -2, 2
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart", "Dart", 0, 73, 0, 1, 4, 78
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart", "Dart", 0, 28, 0, 0, 0, 28
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 0, 230, 0, -1, 17, 246
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart", "Dart", 0, 139, 0, 0, 0, 139
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart", "Dart", 0, 15, 0, 0, 2, 17
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart", "Dart", 0, 2, 0, 0, 3, 5
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 0, 109, 0, 34, 18, 161
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart", "Dart", 0, -215, 0, 0, -17, -232
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Widgets\RevealingCard.dart", "Dart", 0, 349, 0, 0, 19, 368
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart", "Dart", 0, 224, 0, 0, 15, 239
"d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreen.dart", "Dart", 0, 684, 0, 0, 12, 696
